Int_no,Rue_1,Rue_2,Arrondissement,X,Y,Longitude,Latitude
11283,Bégin,Côte-Vertu,Saint-Laurent,288361.84,5039179.68,-73.710312,45.4920914
11478,Bertrand,Côte-Vertu,Saint-Laurent,289428.37,5040381.52,-73.6966102,45.5031474
11812,Bourdaloue,Lacordaire,Saint-Léonard,298772.2,5049266.58,-73.5772456,45.5832181
11839,Bourgoin,Côte-Vertu,Saint-Laurent,289579.2,5040545.91,-73.6948688,45.5047386
12315,Cardinal,Côte-Vertu,Saint-Laurent,290373.35,5041443.37,-73.6847015,45.5125831
12453,Cavendish,Côte-Vertu,Saint-Laurent,289041.67,5039940.55,-73.70133129999999,45.4993207
12458,Cavendish,Ernest-Hemingway,Saint-Laurent,287946.48,5040925.67,-73.71544399999999,45.508047
12459,Cavendish,Raymond-Lasnier,Saint-Laurent,288068.63,5040816.73,-73.7142227,45.50702010000001
13141,Collège,Marcel-Laurin,Saint-Laurent,290716.8,5040616.23,-73.69094799999999,45.51195939999999
13146,Collège,Sainte-Croix,Saint-Laurent,291330.66,5041307,-73.6324954,45.5376552
13279,Côte-Vertu,Place Côte-Vertu,Saint-Laurent,288841.65,5039718.52,-73.66800359999999,45.5301759
13280,Côte-Vertu,Crevier,Saint-Laurent,290317.02,5041376.86,-73.6855338,45.5121562
13281,Côte-Vertu,Duguay / Hill,Saint-Laurent,289344.45,5040283.99,-73.69773169999999,45.5022512
13283,Côte-Vertu,Gohier,Saint-Laurent,290451.65,5041531.08,-73.68364869999999,45.5136314
13285,Côte-Vertu,Hocquart,Saint-Laurent,289196.83,5040116.25,-73.6995912,45.5007518
13289,Côte-Vertu,Leduc,Saint-Laurent,290216.98,5041266.9,-73.68668199999999,45.510951
13290,Côte-Vertu,Marlatt,Saint-Laurent,289955.44,5040972.98,-73.6899109,45.5084847
13293,Côte-Vertu,O'Brien,Saint-Laurent,290692.61,5041784.21,-73.68066720000002,45.5158546
13300,Côte-Vertu,Saint-Germain,Saint-Laurent,290615.84,5041713.74,-73.6815771,45.5152808
13332,Couture,Lacordaire,Saint-Léonard,296319.41,5050749.53,-73.60530419999999,45.5951517
13653,Decelles,Marcel-Laurin,Saint-Laurent,290284.91,5040986.92,-73.6858187,45.508649
13660,Decelles,Sainte-Croix,Saint-Laurent,290905.03,5041681,-73.6777767,45.5149132
13671,Deguire,O'Brien,Saint-Laurent,290056,5042347.5,-73.6886707,45.5209003
14105,Duval / Saint-Denis,Saint-Charles,Pierrefonds - Roxboro,275613.63,5036257.27,-73.8712937,45.4660579
14209,Église,Marcel-Laurin,Saint-Laurent,290440.96,5040847.58,-73.6855195,45.5087365
14215,Église,Sainte-Croix,Saint-Laurent,291073.47,5041533.5,-73.6579925,45.5585062
14713,Galets des,Lacordaire,Saint-Léonard,297348.21,5049559.77,-73.595755,45.585942
15140,Harry-Worth,Saint-Jean,Pierrefonds - Roxboro,277431.41,5038840.5,-73.8502981,45.4890139
15297,Honoré-Mercier,Lacordaire,Saint-Léonard,296579.98,5050583,-73.60530419999999,45.5951517
15701,Archevêque l',Léger,Montréal-Nord,294128.6,5051522.62,-73.567256,45.5016889
15738,Lacordaire,Lafourcade,Saint-Léonard,297006.25,5050117.17,-73.59981379999999,45.5909475
15739,Lacordaire,Lavoisier,Saint-Léonard,296838.68,5050372.96,-73.602094,45.59314850000001
15744,Lacordaire,Paimpol,Saint-Léonard,298102.23,5049094.14,-73.5858183,45.5816628
15747,Lacordaire,Renty de,Saint-Léonard,297159.8,5049863.42,-73.5980022,45.58861960000001
15982,Laval,Marcel-Laurin,Saint-Laurent,288743.64,5042363.17,-73.691373,45.511618
16043,Léger,Sainte-Colette,Montréal-Nord,294503.03,5052444.43,-73.6321629,45.6117887
16044,Léger,Sainte-Gertrude,Montréal-Nord,294215.98,5051776.7,-73.635947,45.605997
16193,Lucien-Thimens Place,Marcel-Laurin,Saint-Laurent,289827.43,5041393.84,-73.691266,45.512252
16234,Oakwood,Saint-Charles,Pierrefonds - Roxboro,275944.38,5035878.67,-73.5518907,45.4782303
16283,Marcel-Laurin,Poirier,Saint-Laurent,289181.33,5041973.21,-73.69959399999999,45.517439
16704,Notre-Dame,Saint-Joseph,Lachine,292960.75,5033458,-73.6164668,45.49191219999999
16730,O'Brien,Rochon,Saint-Laurent,290492.3,5041955.5,-73.68307349999999,45.5174042
16732,O'Brien,Tassé,Saint-Laurent,290272.5,5042150,-73.567256,45.5016889
16776,Ouellette,Saint-Jacques,Lachine,293459.81,5033977.25,-73.645016,45.445578
16984,1 ere Avenue,Provost,Lachine,291920.16,5033578,-73.6092888,45.53884739999999
17234,1ère Avenue,Saint-Antoine,Lachine,291922.41,5033364,-73.66463019999999,45.4400704
17652,32 e Avenue,Victoria,Lachine,289768.22,5033047.82,-73.6920669,45.4372143
17874,Parc,6653 Parc,Rosemont - Petite-Patrie,295799.62,5043124,-73.6149148,45.5279181
17886,Lecocq,Papineau,Villeray - Saint-Michel - Parc-Extension,294027.9,5046863,-73.63818429999999,45.5613867
17888,Assomption,Accès Stat. Pyramides Olympiques,Mercier - Hochelaga - Maisonneuve,300657.53,5047920,-73.5535136,45.5684112
17890,Viau,Piste cyclable 200m au nord de Sherbrooke,Rosemont - Petite-Patrie,300365.03,5047359.5,-71.8929107,45.4041718
17892,Cavendish,Outardes,Saint-Laurent,287712.7,5041246.5,-73.7186211,45.5109428
17893,5ème Avenue,Sherbrooke Est,Rivières-des-Prairies - Pointe-aux-Trembles,303616.7,5055569.5,-73.5151162,45.6399975
17896,Place d'Armes Ouest,Saint-Jacques,Ville-Marie,300282.63,5040537.21,-73.5573881,45.5054393
17900,Atwater,Saint-Patrick (int. Ouest),Sud-Ouest,298898.44,5037442.5,-73.5732296,45.47879040000001
17910,Henri-Bourassa,Pie-IX,Montréal-Nord,293677.6,5050669,-73.6424995,45.5957129
17911,Henri-Bourassa,Bretelle d'accès pont Pie IX / Hébert,Montréal-Nord,293746.3,5050787.5,-73.6475954,45.5993798
17912,Côte-de-Liesse Dir Ouest,Devonshire,Saint-Laurent,291579.47,5040162,-73.6891058,45.4878523
17915,Marcel-Laurin,Voie Réservée Bus,Saint-Laurent,291670.97,5040287.5,-73.70122549999999,45.4866103
17920,Henri-Bourassa Est,Sherbrooke Ouest,Rivières-des-Prairies - Pointe-aux-Trembles,304258.94,5058502.5,-73.507021,45.6664194
